"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","ED10529-ND","302-S401","CONN HEADER VERT 40POS 2.54MM","","1","0","0.57000","0.57"
"2","1","36-3034-ND","3034","BATT RETAINER COIN 20MM 1CEL SMD","","1","0","0.37000","0.37"
"3","1","478-4774-1-ND","TAJC227K010RNJ","CAP TANT 220UF 10% 10V 2312","","1","0","1.24000","1.24"
"4","10","1276-1275-1-ND","CL21B105KPFNNNE","CAP CER 1UF 10V X7R 0805","","10","0","0.05100","0.51"
"5","1","296-8228-1-ND","SN74HC138PWR","IC DECODER/DEMUX 1X3:8 16TSSOP","","1","0","0.39000","0.39"
"6","1","BAS70DW-05FDICT-ND","BAS70DW-05-7-F","DIODE ARR SCHOTT 70V 70MA SOT363","","1","0","0.37000","0.37"
"7","1","2019-RK73B2ATTD102JCT-ND","RK73B2ATTD102J","RES 1K OHM 5% 1/4W 0805","","1","0","0.10000","0.10"
"8","1","311-240KCRCT-ND","RC0805FR-07240KL","RES 240K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"9","1","296-8314-1-ND","SN74HC374PWR","IC FF D-TYPE SNGL 8BIT 20TSSOP","","1","0","0.49000","0.49"
"10","3","296-38231-1-ND","SN74HC161PWR","IC BINARY COUNTER 4-BIT 16TSSOP","","3","0","0.49000","1.47"
"11","1","1450-1029-ND","AS6C4008-55STIN","IC SRAM 4MBIT PARALLEL 32STSOP","","1","0","5.16000","5.16"
"12","1","1727-3102-1-ND","74LVC1G32GW,125","IC GATE OR 1CH 2-INP 5TSSOP","","1","0","0.36000","0.36"
